sub_num,C_pun,C_rew,F_pun,F_rew,S_pun,S_rew
sub-1001,-4.957512329,-2.306998898,-6.187989005,29.97186503,-26.97026487,-4.09810944
sub-1006,6.998285453,17.50742799,-6.092369691,27.95309574,27.00204491,7.326897027
sub-1007,-28.21922503,11.97824873,17.13575595,25.17562822,-20.45297056,-15.91256393
sub-1009,-67.17564271,-33.37407569,-46.14073995,27.13693807,-31.46480506,-14.54694784
sub-1011,-1.636512661,34.7103097,-10.68854715,22.31678808,47.92491816,92.47918735
sub-1012,-2.5286648,36.96610224,2.71939831,19.9653703,1.079437712,4.798480457
sub-1013,-89.44974226,0.5245613198,-30.48395201,-10.37597589,-19.0254172,-9.504854116
sub-1015,-2.797164169,2.517330855,-13.48458607,6.118463522,-3.086763834,-9.722023283
sub-1016,8.446674687,-6.384322362,-11.11994683,28.56767945,-24.17574433,-7.513403511
sub-1019,7.887526478,13.53730549,6.502454349,-1.769980142,-6.094737801,-20.02988885
sub-1021,3.817486832,0.6938284469,-52.81075953,12.24847453,8.951631776,6.860666636
sub-1242,-18.5362061,-18.17243188,-12.37673693,0.4827712,-35.13542451,10.15024803
sub-1243,10.5751628,-5.772143568,-13.67390381,0.08381463412,1.899399423,-22.25368146
sub-1244,2.799257216,-2.549033314,8.139407525,14.22814215,1.921230771,12.87890169
sub-1249,-0.8349546708,4.099426987,-17.75995985,4.487590894,9.235103362,37.26485882
sub-1251,-30.6407423,-37.93253223,-4.327632455,19.08004835,1.043328055,3.069675717
sub-1300,-47.38696973,146.0088989,-6.339512806,-88.6864395,5.779713654,124.7734002
sub-3116,-6.910605339,4.738217601,4.598010005,17.46217256,-7.149171595,23.05743961
sub-3122,-22.44688399,-17.54834579,27.96163065,6.669331639,-23.62835603,-41.43775394
sub-3140,7.348162839,3.162570619,-5.592547868,6.818834123,-8.406222433,6.557403992
sub-3143,-48.5583178,-44.73546911,-37.46653249,-40.55849637,-57.08549174,-32.88971036
sub-3166,-1.109846698,11.08337256,-14.25971959,33.95911987,-0.1907408095,5.067348561
sub-3173,-20.77799973,-20.55568616,-11.29675834,26.43798179,-12.01239304,-20.22182731
sub-3176,-40.74306363,19.88220166,-31.41063657,-35.64276536,-37.24665854,-34.12877922
