Sub	tsnr	fd_mean
1001	-0.568018007	-0.3440763644
1006	1.0281578851	-0.8736512375
1009	1.3704943566	-0.3013860747
1010	-0.9914367014	0.5584492668
1011	-1.6783318396	1.4987324359
1012	1.8486627815	-0.5037591919
1013	1.6416518952	-1.2265464962
1015	1.0361987806	0.0262848647
1016	0.6224231859	-0.8529903974
1019	0.5087486173	-0.0307135687
1021	-0.0937066769	0.3823413274
1242	-0.7938753648	-1.0654288283
1243	-0.4070829012	2.6261522437
1244	0.037604852	0.8446099517
1248	1.0330291499	-0.7588216159
1249	-1.7649533528	2.1470297656
1251	0.7825778456	-1.5028598684
1255	0.1933672521	-0.0145533757
1276	0.2551260338	-0.3140793203
1282	1.4051257624	-1.22834607
1286	-1.0467366103	-0.5419380474
1294	-0.7395348904	-0.5271843607
1301	-0.7935574766	0.9920688522
1302	0.3852046778	-0.5119265952
1303	-0.0375366281	-0.3304804645
3116	-0.9339691357	1.355004999
3122	-0.1693335719	-0.7021581478
3125	-1.1826199423	1.9653606007
3140	0.9132142364	-0.1142013903
3143	-1.3829783929	0.0724202639
3152	-1.492785688	2.1458215169
3166	0.2040397235	-0.2112387279
3167	0.6912136986	0.6933339599
3170	1.1781299563	-1.1772625922
3173	0.1149848681	-1.0840054284
3176	0.3046459822	0.6493171137
3189	0.7132117916	-0.7433955186
3190	-0.2609318634	-0.1462293521
3199	0.0703651237	-0.1016805435
3200	0.6066287855	-0.3903697345
3206	-0.3030392186	-0.2789814206
3210	-1.987122451	0.3077593794
3212	1.2772992615	-1.6538985152
3218	-1.9866067413	1.0468388911
3220	0.3920509511	0.2206378157
